Department,Employee_Level,Date,Retention_Rate_Pct,Training_Hours_Annual,Performance_Rating,Salary_Band,Benefits_Utilization_Pct,Security_Clearance_Level,Internal_Promotions,Diversity_Index,Employee_Satisfaction_Score
Wayne Aerospace,Entry Level,2023-01,82.3,156,3.8,45000-65000,78.5,Level 1,12,0.72,7.2
Wayne Aerospace,Mid Level,2023-01,89.7,142,4.1,65000-95000,82.1,Level 2,8,0.68,7.8
Wayne Aerospace,Senior Level,2023-01,94.2,98,4.3,95000-140000,87.3,Level 3,5,0.61,8.1
Wayne Aerospace,Executive,2023-01,96.8,76,4.5,140000+,91.2,Level 4,2,0.54,8.4
Wayne Aerospace,Entry Level,2023-02,83.1,158,3.9,45000-65000,79.2,Level 1,14,0.73,7.3
Wayne Aerospace,Mid Level,2023-02,90.2,144,4.2,65000-95000,82.8,Level 2,9,0.69,7.9
Wayne Aerospace,Senior Level,2023-02,94.7,101,4.4,95000-140000,87.9,Level 3,6,0.62,8.2
Wayne Aerospace,Executive,2023-02,97.1,78,4.6,140000+,91.8,Level 4,2,0.55,8.5
Wayne Aerospace,Entry Level,2023-03,84.0,160,4.0,45000-65000,80.1,Level 1,16,0.74,7.4
Wayne Aerospace,Mid Level,2023-03,90.8,146,4.3,65000-95000,83.4,Level 2,10,0.70,8.0
Wayne Aerospace,Senior Level,2023-03,95.1,103,4.5,95000-140000,88.5,Level 3,7,0.63,8.3
Wayne Aerospace,Executive,2023-03,97.4,80,4.7,140000+,92.3,Level 4,3,0.56,8.6
Wayne Aerospace,Entry Level,2023-04,84.8,162,4.1,45000-65000,80.9,Level 1,18,0.75,7.5
Wayne Aerospace,Mid Level,2023-04,91.3,148,4.4,65000-95000,84.1,Level 2,11,0.71,8.1
Wayne Aerospace,Senior Level,2023-04,95.6,105,4.6,95000-140000,89.1,Level 3,8,0.64,8.4
Wayne Aerospace,Executive,2023-04,97.7,82,4.8,140000+,92.9,Level 4,3,0.57,8.7
Wayne Aerospace,Entry Level,2023-05,85.5,164,4.2,45000-65000,81.7,Level 1,20,0.76,7.6
Wayne Aerospace,Mid Level,2023-05,91.9,150,4.5,65000-95000,84.7,Level 2,12,0.72,8.2
Wayne Aerospace,Senior Level,2023-05,96.0,107,4.7,95000-140000,89.7,Level 3,9,0.65,8.5
Wayne Aerospace,Executive,2023-05,98.0,84,4.9,140000+,93.4,Level 4,4,0.58,8.8
Wayne Aerospace,Entry Level,2023-06,86.2,166,4.3,45000-65000,82.4,Level 1,22,0.77,7.7
Wayne Aerospace,Mid Level,2023-06,92.4,152,4.6,65000-95000,85.3,Level 2,13,0.73,8.3
Wayne Aerospace,Senior Level,2023-06,96.5,109,4.8,95000-140000,90.3,Level 3,10,0.66,8.6
Wayne Aerospace,Executive,2023-06,98.3,86,5.0,140000+,94.0,Level 4,4,0.59,8.9
Wayne Aerospace,Entry Level,2023-07,86.9,168,4.4,45000-65000,83.2,Level 1,24,0.78,7.8
Wayne Aerospace,Mid Level,2023-07,93.0,154,4.7,65000-95000,86.0,Level 2,14,0.74,8.4
Wayne Aerospace,Senior Level,2023-07,97.0,111,4.9,95000-140000,90.9,Level 3,11,0.67,8.7
Wayne Aerospace,Executive,2023-07,98.6,88,5.1,140000+,94.5,Level 4,5,0.60,9.0
Wayne Aerospace,Entry Level,2023-08,87.6,170,4.5,45000-65000,83.9,Level 1,26,0.79,7.9
Wayne Aerospace,Mid Level,2023-08,93.5,156,4.8,65000-95000,86.6,Level 2,15,0.75,8.5
Wayne Aerospace,Senior Level,2023-08,97.4,113,5.0,95000-140000,91.5,Level 3,12,0.68,8.8
Wayne Aerospace,Executive,2023-08,98.9,90,5.2,140000+,95.1,Level 4,5,0.61,9.1
Wayne Aerospace,Entry Level,2023-09,88.3,172,4.6,45000-65000,84.7,Level 1,28,0.80,8.0
Wayne Aerospace,Mid Level,2023-09,94.1,158,4.9,65000-95000,87.3,Level 2,16,0.76,8.6
Wayne Aerospace,Senior Level,2023-09,97.9,115,5.1,95000-140000,92.1,Level 3,13,0.69,8.9
Wayne Aerospace,Executive,2023-09,99.2,92,5.3,140000+,95.6,Level 4,6,0.62,9.2
Wayne Aerospace,Entry Level,2023-10,89.0,174,4.7,45000-65000,85.4,Level 1,30,0.81,8.1
Wayne Aerospace,Mid Level,2023-10,94.6,160,5.0,65000-95000,87.9,Level 2,17,0.77,8.7
Wayne Aerospace,Senior Level,2023-10,98.3,117,5.2,95000-140000,92.7,Level 3,14,0.70,9.0
Wayne Aerospace,Executive,2023-10,99.5,94,5.4,140000+,96.2,Level 4,6,0.63,9.3
Wayne Aerospace,Entry Level,2023-11,89.7,176,4.8,45000-65000,86.1,Level 1,32,0.82,8.2
Wayne Aerospace,Mid Level,2023-11,95.2,162,5.1,65000-95000,88.6,Level 2,18,0.78,8.8
Wayne Aerospace,Senior Level,2023-11,98.8,119,5.3,95000-140000,93.3,Level 3,15,0.71,9.1
Wayne Aerospace,Executive,2023-11,99.8,96,5.5,140000+,96.7,Level 4,7,0.64,9.4
Wayne Aerospace,Entry Level,2023-12,90.4,178,4.9,45000-65000,86.9,Level 1,34,0.83,8.3
Wayne Aerospace,Mid Level,2023-12,95.7,164,5.2,65000-95000,89.2,Level 2,19,0.79,8.9
Wayne Aerospace,Senior Level,2023-12,99.2,121,5.4,95000-140000,93.9,Level 3,16,0.72,9.2
Wayne Aerospace,Executive,2023-12,100.0,98,5.6,140000+,97.3,Level 4,7,0.65,9.5
Wayne Aerospace,Entry Level,2024-01,91.1,180,5.0,48000-68000,87.6,Level 1,36,0.84,8.4
Wayne Aerospace,Mid Level,2024-01,96.3,166,5.3,68000-98000,89.9,Level 2,20,0.80,9.0
Wayne Aerospace,Senior Level,2024-01,99.7,123,5.5,98000-145000,94.5,Level 3,17,0.73,9.3
Wayne Aerospace,Executive,2024-01,100.0,100,5.7,145000+,97.8,Level 4,8,0.66,9.6
Wayne Aerospace,Entry Level,2024-02,91.8,182,5.1,48000-68000,88.3,Level 1,38,0.85,8.5
Wayne Aerospace,Mid Level,2024-02,96.8,168,5.4,68000-98000,90.5,Level 2,21,0.81,9.1
Wayne Aerospace,Senior Level,2024-02,100.0,125,5.6,98000-145000,95.1,Level 3,18,0.74,9.4
Wayne Aerospace,Executive,2024-02,100.0,102,5.8,145000+,98.4,Level 4,8,0.67,9.7
Wayne Aerospace,Entry Level,2024-03,92.5,184,5.2,48000-68000,89.0,Level 1,40,0.86,8.6
Wayne Aerospace,Mid Level,2024-03,97.4,170,5.5,68000-98000,91.2,Level 2,22,0.82,9.2
Wayne Aerospace,Senior Level,2024-03,100.0,127,5.7,98000-145000,95.7,Level 3,19,0.75,9.5
Wayne Aerospace,Executive,2024-03,100.0,104,5.9,145000+,98.9,Level 4,9,0.68,9.8
Wayne Aerospace,Entry Level,2024-04,93.2,186,5.3,48000-68000,89.7,Level 1,42,0.87,8.7
Wayne Aerospace,Mid Level,2024-04,97.9,172,5.6,68000-98000,91.8,Level 2,23,0.83,9.3
Wayne Aerospace,Senior Level,2024-04,100.0,129,5.8,98000-145000,96.3,Level 3,20,0.76,9.6
Wayne Aerospace,Executive,2024-04,100.0,106,6.0,145000+,99.5,Level 4,9,0.69,9.9
Wayne Aerospace,Entry Level,2024-05,93.9,188,5.4,48000-68000,90.4,Level 1,44,0.88,8.8
Wayne Aerospace,Mid Level,2024-05,98.5,174,5.7,68000-98000,92.5,Level 2,24,0.84,9.4
Wayne Aerospace,Senior Level,2024-05,100.0,131,5.9,98000-145000,96.9,Level 3,21,0.77,9.7
Wayne Aerospace,Executive,2024-05,100.0,108,6.1,145000+,100.0,Level 4,10,0.70,10.0
Wayne Aerospace,Entry Level,2024-06,94.6,190,5.5,48000-68000,91.1,Level 1,46,0.89,8.9
Wayne Aerospace,Mid Level,2024-06,99.0,176,5.8,68000-98000,93.1,Level 2,25,0.85,9.5
Wayne Aerospace,Senior Level,2024-06,100.0,133,6.0,98000-145000,97.5,Level 3,22,0.78,9.8
Wayne Aerospace,Executive,2024-06,100.0,110,6.2,145000+,100.0,Level 4,10,0.71,10.0
Wayne Biotech,Entry Level,2023-01,85.7,142,3.9,42000-62000,81.3,Level 1,8,0.74,7.5
Wayne Biotech,Mid Level,2023-01,91.4,128,4.2,62000-88000,85.7,Level 2,6,0.70,8.1
Wayne Biotech,Senior Level,2023-01,95.8,94,4.4,88000-125000,89.2,Level 2,4,0.65,8.4
Wayne Biotech,Executive,2023-01,97.6,72,4.6,125000+,92.8,Level 3,1,0.58,8.7
Wayne Biotech,Entry Level,2023-02,86.4,144,4.0,42000-62000,82.0,Level 1,9,0.75,7.6
Wayne Biotech,Mid Level,2023-02,92.0,130,4.3,62000-88000,86.4,Level 2,7,0.71,8.2
Wayne Biotech,Senior Level,2023-02,96.3,96,4.5,88000-125000,89.9,Level 2,5,0.66,8.5
Wayne Biotech,Executive,2023-02,98.0,74,4.7,125000+,93.4,Level 3,2,0.59,8.8
Wayne Biotech,Entry Level,2023-03,87.1,146,4.1,42000-62000,82.7,Level 1,10,0.76,7.7
Wayne Biotech,Mid Level,2023-03,92.6,132,4.4,62000-88000,87.1,Level 2,8,0.72,8.3
Wayne Biotech,Senior Level,2023-03,96.8,98,4.6,88000-125000,90.6,Level 2,6,0.67,8.6
Wayne Biotech,Executive,2023-03,98.4,76,4.8,125000+,94.1,Level 3,2,0.60,8.9
Wayne Biotech,Entry Level,2023-04,87.8,148,4.2,42000-62000,83.4,Level 1,11,0.77,7.8
Wayne Biotech,Mid Level,2023-04,93.2,134,4.5,62000-88000,87.8,Level 2,9,0.73,8.4
Wayne Biotech,Senior Level,2023-04,97.3,100,4.7,88000-125000,91.3,Level 2,7,0.68,8.7
Wayne Biotech,Executive,2023-04,98.8,78,4.9,125000+,94.7,Level 3,3,0.61,9.0
Wayne Biotech,Entry Level,2023-05,88.5,150,4.3,42000-62000,84.1,Level 1,12,0.78,7.9
