Facility_Location,Product_Line,Date,Monthly_Production_Volume,Supply_Chain_Disruptions,Cost_Per_Unit,Quality_Score_Pct,Sustainability_Rating,Vendor_Count,Lead_Time_Days,Inventory_Turnover,Carbon_Footprint_MT
Gotham_Main,Aerospace Components,2023-01,125000,2,245.50,94.2,A-,45,18,6.8,1250.5
Gotham_Main,Aerospace Components,2023-02,128000,1,242.30,94.8,A-,46,17,7.1,1268.4
Gotham_Main,Aerospace Components,2023-03,132000,3,248.70,93.5,B+,44,19,6.9,1289.7
Gotham_Main,Aerospace Components,2023-04,134000,2,246.20,94.6,A-,45,18,7.2,1301.2
Gotham_Main,Aerospace Components,2023-05,138000,1,244.80,95.1,A-,47,16,7.4,1324.8
Gotham_Main,Aerospace Components,2023-06,142000,2,247.30,94.3,A-,46,17,7.3,1345.6
Gotham_Main,Aerospace Components,2023-07,145000,3,250.10,93.8,B+,44,20,6.8,1367.2
Gotham_Main,Aerospace Components,2023-08,149000,2,248.60,94.7,A-,45,18,7.1,1389.8
Gotham_Main,Aerospace Components,2023-09,152000,1,246.90,95.2,A,48,16,7.5,1412.4
Gotham_Main,Aerospace Components,2023-10,155000,4,251.40,93.1,B+,43,21,6.6,1435.7
Gotham_Main,Aerospace Components,2023-11,158000,3,249.80,94.0,A-,44,19,6.9,1458.9
Gotham_Main,Aerospace Components,2023-12,162000,2,247.20,94.9,A-,46,17,7.3,1482.6
Gotham_Main,Aerospace Components,2024-01,165000,1,245.70,95.4,A,47,16,7.6,1506.2
Gotham_Main,Aerospace Components,2024-02,168000,2,248.30,94.6,A-,46,18,7.2,1529.8
Gotham_Main,Aerospace Components,2024-03,172000,1,246.50,95.1,A,48,16,7.5,1554.1
Gotham_Main,Aerospace Components,2024-04,175000,3,250.80,93.7,B+,44,20,6.8,1578.4
Gotham_Main,Aerospace Components,2024-05,178000,2,248.90,94.4,A-,45,18,7.1,1602.7
Gotham_Main,Aerospace Components,2024-06,182000,1,247.10,95.0,A,47,16,7.4,1627.8
Metropolis_North,Biotech Equipment,2023-01,89000,1,156.80,96.2,A,32,14,8.2,645.3
Metropolis_North,Biotech Equipment,2023-02,92000,2,158.40,95.7,A-,31,15,8.0,658.7
Metropolis_North,Biotech Equipment,2023-03,95000,1,157.20,96.5,A,33,13,8.4,672.1
Metropolis_North,Biotech Equipment,2023-04,98000,3,160.90,95.1,A-,30,16,7.8,685.8
Metropolis_North,Biotech Equipment,2023-05,101000,1,159.30,96.8,A+,34,12,8.6,699.2
Metropolis_North,Biotech Equipment,2023-06,104000,2,161.70,95.9,A,32,14,8.1,712.9
Metropolis_North,Biotech Equipment,2023-07,107000,1,160.50,96.3,A,33,13,8.3,726.4
Metropolis_North,Biotech Equipment,2023-08,110000,2,162.20,95.6,A-,31,15,7.9,740.1
Metropolis_North,Biotech Equipment,2023-09,113000,1,161.10,96.7,A+,34,12,8.5,753.7
Metropolis_North,Biotech Equipment,2023-10,116000,3,164.80,94.9,A-,29,17,7.6,767.8
Metropolis_North,Biotech Equipment,2023-11,119000,2,163.40,95.8,A,32,14,8.0,781.2
Metropolis_North,Biotech Equipment,2023-12,122000,1,162.60,96.4,A,33,13,8.2,794.9
Metropolis_North,Biotech Equipment,2024-01,125000,1,161.90,96.9,A+,35,12,8.7,808.4
Metropolis_North,Biotech Equipment,2024-02,128000,2,163.70,95.5,A-,31,15,7.8,822.1
Metropolis_North,Biotech Equipment,2024-03,131000,1,162.30,96.6,A,34,13,8.4,835.8
